code	term	range	group
8375/0	Adrenal cortical adenoma, mixed cell	814-838	Adenomas and adenocarcinomas
8380/0	Endometrioid adenoma, NOS	814-838	Adenomas and adenocarcinomas
8380/1	Endometrioid adenoma, borderline malignancy	814-838	Adenomas and adenocarcinomas
8380/2	Endometrioid intraepithelial neoplasia	814-838	Adenomas and adenocarcinomas
8380/3	Endometrioid adenocarcinoma, NOS	814-838	Adenomas and adenocarcinomas
8381/0	Endometrioid adenofibroma, NOS	814-838	Adenomas and adenocarcinomas
8381/1	Endometrioid adenofibroma, borderline malignancy	814-838	Adenomas and adenocarcinomas
8381/3	Endometrioid adenofibroma, malignant	814-838	Adenomas and adenocarcinomas
8382/3	Endometrioid adenocarcinoma, secretory variant	814-838	Adenomas and adenocarcinomas
8383/3	Endometrioid adenocarcinoma, ciliated cell variant	814-838	Adenomas and adenocarcinomas
8384/3	Adenocarcinoma, endocervical type	814-838	Adenomas and adenocarcinomas
8390/0	Skin appendage adenoma	839-842	Adnexal and skin appendage neoplasms
8390/3	Adnexal adenocarcinoma, NOS	839-842	Adnexal and skin appendage neoplasms
8391/0	Follicular fibroma	839-842	Adnexal and skin appendage neoplasms
8392/0	Syringofibroadenoma	839-842	Adnexal and skin appendage neoplasms
8400/0	Sweat gland adenoma	839-842	Adnexal and skin appendage neoplasms
8400/1	Sweat gland tumor, NOS	839-842	Adnexal and skin appendage neoplasms
8400/3	Sweat gland adenocarcinoma	839-842	Adnexal and skin appendage neoplasms
8401/0	Apocrine adenoma	839-842	Adnexal and skin appendage neoplasms
8401/3	Apocrine adenocarcinoma	839-842	Adnexal and skin appendage neoplasms
8402/0	Hidradenoma, NOS	839-842	Adnexal and skin appendage neoplasms
8402/3	Hidradenocarcinoma	839-842	Adnexal and skin appendage neoplasms
8403/0	Spiradenoma, NOS	839-842	Adnexal and skin appendage neoplasms
8403/3	Malignant eccrine spiradenoma	839-842	Adnexal and skin appendage neoplasms
8404/0	Hidrocystoma	839-842	Adnexal and skin appendage neoplasms
8405/0	Papillary hidradenoma	839-842	Adnexal and skin appendage neoplasms
8406/0	Syringocystadenoma papilliferum	839-842	Adnexal and skin appendage neoplasms
8406/3	Syringocystadenocarcinoma papilliferum	839-842	Adnexal and skin appendage neoplasms
8407/0	Syringoma, NOS	839-842	Adnexal and skin appendage neoplasms
8407/3	Microcystic adnexal carcinoma	839-842	Adnexal and skin appendage neoplasms
8408/0	Eccrine papillary adenoma	839-842	Adnexal and skin appendage neoplasms
8408/3	Digital papillary adenocarcinoma	839-842	Adnexal and skin appendage neoplasms
8409/0	Poroma, NOS	839-842	Adnexal and skin appendage neoplasms
8409/2	Porocarcinoma in situ	839-842	Adnexal and skin appendage neoplasms
8409/3	Porocarcinoma, NOS	839-842	Adnexal and skin appendage neoplasms
8410/0	Sebaceoma	839-842	Adnexal and skin appendage neoplasms
8410/3	Sebaceous carcinoma	839-842	Adnexal and skin appendage neoplasms
8413/3	Eccrine adenocarcinoma	839-842	Adnexal and skin appendage neoplasms
8420/0	Ceruminous adenoma	839-842	Adnexal and skin appendage neoplasms
8420/3	Ceruminous adenocarcinoma	839-842	Adnexal and skin appendage neoplasms
8430/1	Mucoepidermoid tumor	843	Mucoepidermoid neoplasms
8430/3	Mucoepidermoid carcinoma	843	Mucoepidermoid neoplasms
8440/0	Cystadenoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8440/3	Cystadenocarcinoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8441/0	Serous cystadenoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8441/2	Serous intraepithelial carcinoma	844-849	Cystic, mucinous and serous neoplasms
8441/3	Serous carcinoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8442/1	Serous borderline tumor, NOS	844-849	Cystic, mucinous and serous neoplasms
8443/0	Clear cell cystadenoma	844-849	Cystic, mucinous and serous neoplasms
8450/0	Papillary cystadenoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8450/3	Papillary cystadenocarcinoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8451/1	Papillary cystadenoma, borderline malignancy	844-849	Cystic, mucinous and serous neoplasms
8452/1	Solid pseudopapillary tumor of ovary	844-849	Cystic, mucinous and serous neoplasms
8452/3	Solid pseudopapillary neoplasm of the pancreas	844-849	Cystic, mucinous and serous neoplasms
8453/0	Intraductal Papillary mucinous adenoma	844-849	Cystic, mucinous and serous neoplasms
8453/2	Intraductal Papillary mucinous neoplasm with high grade dysplasia	844-849	Cystic, mucinous and serous neoplasms
8453/3	Intraductal Papillary mucinous neoplasm with an associated invasive carcinoma	844-849	Cystic, mucinous and serous neoplasms
8454/0	Cystic tumor of atrio-ventricular node	844-849	Cystic, mucinous and serous neoplasms
8460/2	Serous borderline tumor, micropapillary variant	844-849	Cystic, mucinous and serous neoplasms
8460/3	Low grade serous carcinoma	844-849	Cystic, mucinous and serous neoplasms
8461/0	Serous surface papilloma	844-849	Cystic, mucinous and serous neoplasms
8461/3	High grade serous carcinoma	844-849	Cystic, mucinous and serous neoplasms
8470/0	Mucinous cystadenoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8470/2	Mucinous cystic neoplasm with high grade dysplasia	844-849	Cystic, mucinous and serous neoplasms
8470/3	Mucinous cystadenocarcinoma, NOS	844-849	Cystic, mucinous and serous neoplasms
8472/1	Mucinous cystic tumor of borderline malignancy	844-849	Cystic, mucinous and serous neoplasms
8474/0	Seromucinous cystadenoma	844-849	Cystic, mucinous and serous neoplasms
8474/1	Seromucinous borderline tumor	844-849	Cystic, mucinous and serous neoplasms
8474/3	Seromucinous carcinoma	844-849	Cystic, mucinous and serous neoplasms
8480/0	Mucinous adenoma	844-849	Cystic, mucinous and serous neoplasms
8480/1	Low grade appendiceal mucinous neoplasm	844-849	Cystic, mucinous and serous neoplasms
8480/3	Mucinous adenocarcinoma	844-849	Cystic, mucinous and serous neoplasms
